build_y,offi_nm,size,year,month,day,dong,bo_price,mo_price,ji_code,floor
2017,대농지구 롯데캐슬시티,44.96,2020,1,6, 복대동,"1,000",65,43113,7
2017,대농지구 롯데캐슬시티,33.45,2020,1,6, 복대동,500,45,43113,14
2016,지웰에스테이트 오피스텔,28.52,2020,1,7, 복대동,"11,000",0,43113,6
2017,대농지구 롯데캐슬시티,40.84,2020,1,7, 복대동,"16,000",0,43113,3
2017,대농지구 롯데캐슬시티,44.96,2020,1,8, 복대동,"17,500",0,43113,5
2017,대농지구 롯데캐슬시티,44.96,2020,1,8, 복대동,"16,000",0,43113,9
2017,대농지구 롯데캐슬시티,44.96,2020,1,9, 복대동,"17,000",0,43113,11
2017,대농지구 롯데캐슬시티,33.45,2020,1,13, 복대동,"9,000",10,43113,3
2016,지웰에스테이트 오피스텔,28.52,2020,1,13, 복대동,"10,000",0,43113,4
2017,대농지구 롯데캐슬시티,40.84,2020,1,14, 복대동,"3,000",40,43113,15
2017,대농지구 롯데캐슬시티,33.45,2020,1,15, 복대동,"12,000",0,43113,10
2017,대농지구 롯데캐슬시티,28.47,2020,1,15, 복대동,500,42,43113,13
2016,지웰에스테이트 오피스텔,32.91,2020,1,16, 복대동,"9,000",0,43113,13
2017,대농지구 롯데캐슬시티,33.45,2020,1,16, 복대동,500,45,43113,14
2017,대농지구 롯데캐슬시티,33.45,2020,1,17, 복대동,"12,000",0,43113,4
2017,대농지구 롯데캐슬시티,33.45,2020,1,18, 복대동,"11,000",0,43113,10
2017,대농지구 롯데캐슬시티,33.45,2020,1,18, 복대동,"11,000",0,43113,11
2016,지웰에스테이트 오피스텔,48.01,2020,1,18, 복대동,500,65,43113,14
2016,지웰에스테이트 오피스텔,30.33,2020,1,19, 복대동,500,40,43113,5
2017,대농지구 롯데캐슬시티,48.35,2020,1,19, 복대동,"4,000",50,43113,14
2019,청주 지웰시티 푸르지오,84.89,2020,1,19, 복대동,"21,000",0,43113,18
2017,대농지구 롯데캐슬시티,37.16,2020,1,20, 복대동,"15,000",0,43113,7
2017,대농지구 롯데캐슬시티,28.47,2020,1,20, 복대동,"3,000",35,43113,5
2017,대농지구 롯데캐슬시티,28.47,2020,1,23, 복대동,"11,000",0,43113,8
2017,대농지구 롯데캐슬시티,37.16,2020,1,23, 복대동,"15,000",0,43113,13
2017,대농지구 롯데캐슬시티,48.35,2020,1,29, 복대동,"18,000",0,43113,11
2017,대농지구 롯데캐슬시티,33.45,2020,1,31, 복대동,500,50,43113,15
