시군구,번지,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,27.61,201911,24,"9,000",0,12,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,27,201911,26,"9,000",0,5,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,29.24,201911,28,"9,000",0,10,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,28.8,201912,2,"3,000",30,5,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,45.28,201912,8,"1,000",55,13,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,32.91,201912,11,"11,000",0,3,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,48.01,201912,13,"13,000",0,14,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,55,201912,13,"15,000",0,9,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,27.61,201912,15,"10,000",0,11,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,55,201912,17,"17,000",0,4,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,29.24,201912,19,"9,450",0,6,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,27.61,201912,20,"10,000",0,10,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,32.91,201912,21,"11,000",0,3,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,32.91,201912,30,"10,000",0,13,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,32.91,201912,30,500,50,3,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,25.23,201912,31,"9,000",0,5,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,39.78,202001,6,"14,000",0,15,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,28.52,202001,7,"11,000",0,6,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,28.52,202001,13,"10,000",0,4,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,32.91,202001,16,"9,000",0,13,2016,진재로 131
